Name|Asset Class|Weight|Price|Market Value|Notional Value|Sector_|SEDOL|ISIN|Coupon|Maturity_|YTM_|Yield to Worst|Duration|Par Value
VZOT_20-A A1B|Fixed Income|0.14|99.75|9,266,990.90|9,266,990.90|ABS|--|US92348TAB08|2.38|Jul 22, 2024|1.94|1.94|0.08|9,290,000.00
ALM_12-7AR A1A2 144A|Fixed Income|0.14|99.83|8,996,272.39|8,996,272.39|ABS|--|US00163GAY35|3.00|Jul 15, 2029|3.04|3.04|0.21|9,000,000.00
COMM_13-CR6 A3FL 144A|Fixed Income|0.14|99.86|8,858,079.24|8,858,079.24|CMBS|--|US12624XAF50|2.31|Mar 10, 2046|3.06|3.06|0.03|8,856,947.00
SMB_19-A A-1 144A|Fixed Income|0.14|100.01|8,797,990.13|8,797,990.13|ABS|--|US78449TAA97|2.03|Feb 16, 2026|2.01|2.01|0.05|8,790,083.00
CITIZENS BANK NA/ PROVIDENCE RI|Fixed Income|0.14|100.17|8,763,809.49|8,763,809.49|Financial Institutions|BF04FV2|US17401QAK76|2.49|May 26, 2020|1.85|1.85|0.07|8,710,000.00
FLORIDA POWER & LIGHT CO|Fixed Income|0.13|100.01|8,693,240.26|8,693,240.26|Utility|BJLT2L3|US341081FW23|2.31|May 06, 2022|2.19|1.80|0.02|8,645,000.00
FISERV INC|Fixed Income|0.13|100.20|8,635,126.50|8,635,126.50|Industrial|BY58YH1|US337738AN81|2.70|Jun 01, 2020|2.09|1.90|0.25|8,580,000.00
ROPER TECHNOLOGIES INC|Fixed Income|0.13|100.88|8,606,335.00|8,606,335.00|Industrial|BZ5ZBK1|US776743AA47|3.00|Dec 15, 2020|1.98|1.88|0.78|8,500,000.00
KNDL_19-KNSQ A 144A|Fixed Income|0.13|99.91|8,533,759.19|8,533,759.19|CMBS|--|US482598AA71|2.48|May 15, 2036|2.53|2.53|0.04|8,533,000.00
BARCLAYS BANK PLC|Fixed Income|0.13|102.12|8,467,097.51|8,467,097.51|Financial Institutions|B4MSN66|US06739GBP37|5.14|Oct 14, 2020|2.09|2.09|0.69|8,170,000.00
TYSON FOODS INC|Fixed Income|0.13|105.43|8,404,888.05|8,404,888.05|Industrial|B8L2L07|US902494AT07|4.50|Jun 15, 2022|2.14|1.88|2.02|7,930,000.00
EXPRESS SCRIPTS HOLDING CO|Fixed Income|0.13|100.61|8,285,307.33|8,285,307.33|Industrial|BF2RB44|US30219GAR92|2.60|Nov 30, 2020|1.86|1.86|0.82|8,200,000.00
STANDARD CHARTERED PLC 144A|Fixed Income|0.13|100.96|8,266,210.20|8,266,210.20|Financial Institutions|--|US853254BQ20|2.74|Sep 10, 2022|2.44|2.13|1.56|8,100,000.00
CARMAX_16-1 A4|Fixed Income|0.13|100.01|8,255,764.03|8,255,764.03|ABS|BD6CS06|US14313YAD04|1.88|Jun 15, 2021|1.83|1.83|0.16|8,248,517.00
MSC_19-AGLN A 144A|Fixed Income|0.13|99.88|8,246,054.65|8,246,054.65|CMBS|--|US61691TAA07|2.63|Mar 15, 2034|2.69|2.69|0.04|8,247,000.00
DRIVE_19-4 A3|Fixed Income|0.13|100.38|8,238,525.24|8,238,525.24|ABS|--|US26209AAD37|2.16|May 15, 2023|1.81|1.81|1.05|8,200,000.00
SLMA_05-B A4|Fixed Income|0.13|98.16|8,156,103.11|8,156,103.11|ABS|B0NWDJ2|US78443CCB81|2.22|Jun 15, 2039|2.60|2.60|0.10|8,285,384.00
AMGEN INC|Fixed Income|0.13|100.10|8,150,331.15|8,150,331.15|Industrial|BF3W9P5|US031162CN83|2.35|May 11, 2020|1.88|1.88|0.03|8,100,000.00
CAPITAL ONE NA/MCLEAN VA|Fixed Income|0.13|101.30|8,103,600.00|8,103,600.00|Financial Institutions|BDBRSH3|US14042RFJ59|2.92|Jan 30, 2023|2.51|2.29|0.26|8,000,000.00
CEDF_13-1A A1R 144A|Fixed Income|0.12|100.07|8,041,653.16|8,041,653.16|ABS|--|US15032TAS50|3.12|Jun 09, 2030|3.03|3.03|0.11|8,000,000.00
SHIRE ACQUISITIONS INVESTMENTS IRE|Fixed Income|0.12|100.82|7,818,474.27|7,818,474.27|Industrial|BYVWGF9|US82481LAB53|2.40|Sep 23, 2021|1.89|1.86|1.53|7,690,000.00
RYDER SYSTEM INC MTN|Fixed Income|0.12|100.04|7,811,940.58|7,811,940.58|Industrial|BVYVG96|US78355HJY62|2.65|Mar 02, 2020|2.22|2.18|0.09|7,725,000.00
AMERICAN EXPRESS COMPANY|Fixed Income|0.12|100.15|7,761,547.50|7,761,547.50|Financial Institutions|BF7L6B3|US025816BQ18|2.10|Oct 30, 2020|1.92|1.89|0.25|7,750,000.00
COMM_13-GAM A2 144A|Fixed Income|0.12|100.55|7,758,447.63|7,758,447.63|CMBS|BD0D6N4|US12624UAC80|3.37|Feb 10, 2028|2.75|2.75|1.00|7,695,000.00
AMCAR_17-3 A3|Fixed Income|0.12|99.97|7,641,658.39|7,641,658.39|ABS|--|US03065HAD08|1.90|Mar 18, 2022|2.03|2.03|0.24|7,638,966.00
LAM RESEARCH CORPORATION|Fixed Income|0.12|100.07|7,638,047.58|7,638,047.58|Industrial|BWB63R8|US512807AM03|2.75|Mar 15, 2020|2.18|2.16|0.12|7,555,000.00
NCMS_18-RIVA A 144A|Fixed Income|0.12|99.56|7,624,098.92|7,624,098.92|CMBS|--|US63874JAA79|2.43|Feb 15, 2033|2.65|2.65|0.04|7,650,000.00
BCC_16-2A AR 144A|Fixed Income|0.12|99.80|7,613,821.86|7,613,821.86|ABS|--|US056828AJ50|2.97|Jan 15, 2029|3.03|3.03|0.21|7,620,000.00
GSMS_18-LUAU A 144A|Fixed Income|0.12|99.84|7,596,510.87|7,596,510.87|CMBS|--|US36256AAA07|2.68|Nov 15, 2032|2.78|2.78|0.05|7,600,000.00
MAD_13-650M A 144A|Fixed Income|0.12|100.60|7,568,195.62|7,568,195.62|CMBS|--|US55660CAA62|3.84|Oct 12, 2032|2.82|2.82|0.68|7,500,000.00
LAN_19-1 1A1 144A|Fixed Income|0.12|100.26|7,541,475.01|7,541,475.01|ABS|--|US513770BB22|2.69|Dec 22, 2069|2.38|2.38|0.07|7,483,667.00
NAVSL_18-C A1 144A|Fixed Income|0.12|100.37|7,501,561.22|7,501,561.22|ABS|--|US63940VAA08|3.01|Jun 16, 2042|2.42|2.42|0.62|7,464,254.00
GFUND_18-1 A1 144A|Fixed Income|0.11|99.85|7,425,872.92|7,425,872.92|ABS|--|US38312RAA14|2.36|Aug 25, 2060|2.39|2.39|0.07|7,404,904.00
IBM CREDIT LLC|Fixed Income|0.11|100.33|7,303,414.31|7,303,414.31|Industrial|--|US44932HAJ23|2.38|Nov 30, 2020|1.88|1.88|0.08|7,250,000.00
SNDPT_16-3A AR 144A|Fixed Income|0.11|99.95|7,255,477.57|7,255,477.57|Financial Institutions|--|US83609NAL47|2.96|Jan 23, 2029|2.99|2.99|0.23|7,255,000.00
BANK OF MONTREAL MTN|Fixed Income|0.11|100.99|7,103,077.40|7,103,077.40|Financial Institutions|BYVCP29|US06367TJY73|2.71|Aug 27, 2021|1.96|1.96|0.08|7,000,000.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.11|101.34|7,095,779.91|7,095,779.91|Financial Institutions|BD6SMM4|US38141GVW13|3.15|Apr 23, 2021|2.07|1.99|0.24|7,000,000.00
CONAGRA BRANDS INC|Fixed Income|0.11|100.16|7,021,050.17|7,021,050.17|Industrial|BFBFBL6|US205887BW12|2.38|Oct 09, 2020|2.09|2.09|0.19|7,000,000.00
HSBC HOLDINGS PLC|Fixed Income|0.11|102.20|7,005,467.89|7,005,467.89|Financial Institutions|BYQ6753|US404280AX71|4.13|Mar 08, 2021|2.05|2.05|0.12|6,815,000.00
HYUNDAI CAPITAL AMERICA MTN 144A|Fixed Income|0.11|100.07|6,908,589.32|6,908,589.32|Industrial|BYQDD67|US44891AAN72|2.71|Apr 03, 2020|2.33|2.33|0.17|6,890,000.00
MPLX LP|Fixed Income|0.11|100.44|6,882,757.78|6,882,757.78|Industrial|--|US55336VBG41|2.79|Sep 09, 2021|2.44|2.00|0.11|6,825,000.00
MSC_18-BOP A 144A|Fixed Income|0.11|99.81|6,854,312.40|6,854,312.40|CMBS|--|US61768FAA84|2.53|Aug 15, 2033|2.57|2.57|0.04|6,860,000.00
BX_19-CALM A 144A|Fixed Income|0.11|100.03|6,807,281.56|6,807,281.56|CMBS|--|US05608FAA93|2.55|Nov 25, 2032|2.54|2.54|0.04|6,798,000.00
SLMA_04-A A3|Fixed Income|0.10|99.04|6,661,920.00|6,661,920.00|ABS|BZ4SKB5|US78443CBH60|2.29|Jun 15, 2033|2.58|2.58|0.11|6,706,756.00
JOHN DEERE CAPITAL CORP MTN|Fixed Income|0.10|100.36|6,524,974.15|6,524,974.15|Industrial|BK5YG53|US24422EUW73|2.29|Jun 07, 2021|1.94|1.94|0.11|6,480,000.00
TICP_16-2R AR 144A|Fixed Income|0.10|100.21|6,401,655.13|6,401,655.13|ABS|--|US87246MAG78|3.03|Jan 15, 2029|2.93|2.93|0.21|6,380,000.00
CIFC_17-2A A 144A|Fixed Income|0.10|99.75|6,363,732.08|6,363,732.08|ABS|--|US12550YAC84|3.06|Apr 20, 2030|3.14|3.14|0.22|6,375,000.00
ANCHC_16-8A AR 144A|Fixed Income|0.10|99.90|6,299,913.12|6,299,913.12|ABS|--|US03329KAQ67|2.80|Jul 28, 2028|2.86|2.86|0.24|6,305,000.00
MDPK_12-10A AR2 144A|Fixed Income|0.10|99.80|6,242,048.64|6,242,048.64|ABS|--|US55818HBE71|3.04|Jan 20, 2029|3.13|3.13|0.22|6,250,000.00
CHASE_19-ATR2 A11 144A|Fixed Income|0.10|100.00|6,223,078.70|6,223,078.70|CMO|--|US16159GAL32|2.56|Jul 25, 2049|2.57|2.57|0.31|6,220,994.00
NAROT_17-B A3|Fixed Income|0.10|100.00|6,216,856.18|6,216,856.18|ABS|--|US65478GAD25|1.75|Oct 15, 2021|1.76|1.76|0.37|6,212,311.00
GMCAR_18-4 A2|Fixed Income|0.10|100.20|6,180,665.06|6,180,665.06|ABS|--|US38013FAB76|2.93|Nov 16, 2021|1.71|1.71|0.17|6,161,028.00
CGMS_13-2A AR 144A|Fixed Income|0.10|99.42|6,177,987.96|6,177,987.96|ABS|--|US14310DAU19|2.71|Jan 18, 2029|2.94|2.94|0.22|6,210,000.00
REPUBLIC SERVICES INC|Fixed Income|0.09|103.52|6,136,742.49|6,136,742.49|Industrial|B86N2X5|US760759AP52|3.55|Jun 01, 2022|2.00|1.82|2.01|5,895,000.00
SMB_15-A A2A 144A|Fixed Income|0.09|100.42|6,097,378.06|6,097,378.06|ABS|--|US78448PAB67|2.49|Jun 15, 2027|2.11|2.11|1.05|6,065,619.00
JOHN DEERE CAPITAL CORP MTN|Fixed Income|0.09|100.11|6,020,525.75|6,020,525.75|Industrial|BDGGZW9|US24422ETR08|2.22|Jun 22, 2020|1.87|1.87|0.14|6,000,000.00
EATON_13-1A A1RR 144A|Fixed Income|0.09|100.07|6,011,605.53|6,011,605.53|ABS|--|US27830BBA17|2.99|Jan 15, 2028|2.95|2.95|0.21|6,000,000.00
CNH_19-A A2|Fixed Income|0.09|100.53|5,757,677.75|5,757,677.75|ABS|--|US12596JAB98|2.96|May 16, 2022|1.84|1.84|0.47|5,720,139.00
ALLSTATE CORPORATION (THE)|Fixed Income|0.09|100.18|5,732,081.63|5,732,081.63|Financial Institutions|BG33JZ5|US020002BE09|2.39|Mar 29, 2021|2.10|2.10|0.16|5,710,000.00
BMWOT_16-A A4|Fixed Income|0.09|99.90|5,633,638.71|5,633,638.71|ABS|--|US05582QAE70|1.37|Dec 27, 2022|1.72|1.72|0.28|5,638,201.00
PHILLIPS 66 144A|Fixed Income|0.09|100.04|5,633,074.80|5,633,074.80|Industrial|BZ0XCD0|US718546AP90|2.58|Apr 15, 2020|2.41|2.15|0.09|5,625,000.00
KINDER MORGAN ENERGY PARTNERS LP|Fixed Income|0.08|104.15|5,503,652.42|5,503,652.42|Industrial|B6RYCK0|US28370TAE91|5.00|Oct 01, 2021|2.45|2.02|1.35|5,202,000.00
TYSON FOODS INC|Fixed Income|0.08|100.11|5,503,341.63|5,503,341.63|Industrial|BYZ6KG6|US902494BB89|2.46|Jun 02, 2020|2.05|2.05|0.09|5,475,000.00
VOYA_17-2A A1 144A|Fixed Income|0.08|100.06|5,340,204.75|5,340,204.75|ABS|--|US92915UAB08|3.04|Jun 07, 2030|3.01|3.01|0.22|5,330,000.00
MEDTRONIC INC|Fixed Income|0.08|100.03|5,331,478.77|5,331,478.77|Industrial|BYN69K5|US585055BJ44|2.69|Mar 15, 2020|2.50|2.50|0.12|5,312,000.00
UBS AG (LONDON BRANCH) 144A|Fixed Income|0.08|100.16|5,327,244.94|5,327,244.94|Financial Institutions|BZ4CZ12|US902674XE58|2.46|Jun 08, 2020|1.97|1.84|0.11|5,300,000.00
NLY_19-FL2 A 144A|Fixed Income|0.08|100.14|5,304,989.43|5,304,989.43|CMBS|--|US629167AA52|2.98|Feb 15, 2036|2.90|2.90|0.05|5,291,000.00
TAOT_16-C A4|Fixed Income|0.08|99.90|5,296,037.28|5,296,037.28|ABS|--|US89237WAE75|1.32|Nov 15, 2021|1.81|1.81|0.20|5,298,275.00
TRANSCANADA PIPELINES LIMITED|Fixed Income|0.08|101.25|5,255,231.97|5,255,231.97|Industrial|B3S1CG5|US893526DK63|3.80|Oct 01, 2020|1.92|1.92|0.66|5,127,000.00
TSYMP_16-1A AR 144A|Fixed Income|0.08|99.98|5,238,446.25|5,238,446.25|ABS|--|US87229WAM38|1.85|Oct 13, 2029|2.99|2.99|0.21|5,235,000.00
BSCMS_05-PW10 AJ|Fixed Income|0.08|101.18|5,168,452.68|5,168,452.68|CMBS|B0TVFW0|US07387BEE92|5.78|Dec 11, 2040|1.60|1.60|0.33|5,084,551.00
BANC_18-CRE4 A 144A|Fixed Income|0.08|99.94|5,125,146.42|5,125,146.42|CMBS|--|US05972LAA44|2.57|Sep 15, 2035|2.59|2.59|0.04|5,122,021.00
DUPONT DE NEMOURS INC|Fixed Income|0.08|101.50|5,114,279.17|5,114,279.17|Industrial|BGT0Q15|US26078JAA88|3.77|Nov 15, 2020|1.84|1.84|0.78|5,000,000.00
SEMPRA ENERGY|Fixed Income|0.08|100.01|5,070,375.76|5,070,375.76|Utility|BFWJSP0|US816851BD03|2.33|Jan 15, 2021|2.31|2.22|0.15|5,065,000.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.08|101.19|5,061,884.07|5,061,884.07|Financial Institutions|BZ576M4|US38141GWN05|2.80|Jul 24, 2023|2.45|2.31|0.25|5,000,000.00
KRAFT HEINZ FOODS CO|Fixed Income|0.08|100.42|5,050,951.36|5,050,951.36|Industrial|BF4MT10|US50077LAQ95|2.72|Aug 10, 2022|2.45|2.45|0.04|5,000,000.00
DAIMLER FINANCE NORTH AMERICA LLC 144A|Fixed Income|0.08|100.21|5,036,072.19|5,036,072.19|Industrial|BFY8PG5|US233851DA93|2.33|Feb 12, 2021|2.03|2.03|0.04|5,000,000.00
UBS AG (LONDON BRANCH) 144A|Fixed Income|0.08|100.30|5,034,459.16|5,034,459.16|Financial Institutions|BD25JS4|US902674XJ46|2.39|Dec 01, 2020|1.94|1.90|0.09|5,000,000.00
SVENSKA HANDELSBANKEN AB|Fixed Income|0.08|100.21|5,026,514.39|5,026,514.39|Financial Institutions|BYZ67Y3|US86960BAS16|2.25|Sep 08, 2020|1.84|1.84|0.11|5,000,000.00
WELLS FARGO & COMPANY MTN|Fixed Income|0.08|100.38|5,022,180.14|5,022,180.14|Financial Institutions|BYRGZC5|US94974BGN47|2.68|Jul 22, 2020|1.88|1.88|0.23|5,000,000.00
CAPITAL ONE FINANCIAL CORPORATION|Fixed Income|0.08|100.23|5,011,350.00|5,011,350.00|Financial Institutions|BD6JBY2|US14040HBS31|2.22|Oct 30, 2020|1.94|1.89|0.25|5,000,000.00
BX_19-ATL A 144A|Fixed Income|0.08|100.00|5,005,748.94|5,005,748.94|CMBS|--|US056058AA84|2.76|Oct 15, 2036|2.76|2.76|0.04|5,000,000.00
HAROT_18-2 A4|Fixed Income|0.08|102.51|4,997,434.91|4,997,434.91|ABS|--|US43814UAH23|3.16|Aug 19, 2024|1.66|1.66|1.64|4,870,000.00
DEUTSCHE BANK AG (NEW YORK BRANCH)|Fixed Income|0.08|99.82|4,993,707.92|4,993,707.92|Financial Institutions|BF1HSD3|US251526BQ11|2.62|Jan 22, 2021|2.82|2.82|0.23|5,000,000.00
ADML_14-1A A2R 144A|Fixed Income|0.07|100.02|4,769,422.62|4,769,422.62|ABS|--|US006278AT25|2.93|Jul 15, 2026|2.89|2.89|0.21|4,762,777.00
GMCAR_18-2 A3|Fixed Income|0.07|100.95|4,754,726.57|4,754,726.57|ABS|--|US38013RAD70|2.81|Dec 16, 2022|1.69|1.69|0.83|4,705,000.00
AVMT_13-AVM A 144A|Fixed Income|0.07|100.62|4,693,087.04|4,693,087.04|CMBS|BH5MGX4|US05357HAA86|3.87|Dec 05, 2032|3.02|3.02|0.83|4,650,000.00
INTERPUBLIC GROUP OF COMPANIES INC|Fixed Income|0.07|101.00|4,561,486.17|4,561,486.17|Industrial|BF5HW15|US460690BM12|3.50|Oct 01, 2020|1.98|1.98|0.66|4,465,000.00
SMB_18-C A1 144A|Fixed Income|0.07|99.99|4,498,457.14|4,498,457.14|ABS|--|US78449QAA58|1.98|Sep 15, 2025|1.97|1.97|0.05|4,495,059.00
BMW US CAPITAL LLC 144A|Fixed Income|0.07|100.08|4,425,281.81|4,425,281.81|Industrial|BDQR2B0|US05565EAQ89|2.28|Apr 06, 2020|1.84|1.84|0.18|4,415,000.00
CVS HEALTH CORP|Fixed Income|0.07|103.40|4,336,701.21|4,336,701.21|Industrial|BYPFCL2|US126650CK42|3.50|Jul 20, 2022|2.08|1.98|2.22|4,190,000.00
NAVSL_18-DA A1 144A|Fixed Income|0.07|100.00|4,272,545.43|4,272,545.43|ABS|--|US63940UAA25|1.98|Dec 15, 2059|1.96|1.96|0.05|4,269,031.00
SPRINT SPECTRUM CO I/ II /III/ LLC 144A|Fixed Income|0.06|100.89|4,121,078.22|4,121,078.22|Industrial|BDR0D93|US85208NAA81|3.36|Sep 20, 2021|2.35|2.35|0.87|4,069,625.00
JDOT_17-B A3|Fixed Income|0.06|99.97|4,098,459.13|4,098,459.13|ABS|BF42BZ8|US47788BAD64|1.82|Oct 15, 2021|1.93|1.93|0.31|4,096,640.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.06|100.85|4,061,252.49|4,061,252.49|Financial Institutions|BF92DL3|US38148YAB48|2.71|Oct 31, 2022|2.27|2.09|0.25|4,000,000.00
AMERICAN EXPRESS COMPANY|Fixed Income|0.06|101.00|4,058,265.81|4,058,265.81|Financial Institutions|BFMR4X4|US025816BT56|2.57|Feb 27, 2023|2.12|2.11|0.09|4,000,000.00
WESTERN MIDSTREAM OPERATING LP|Fixed Income|0.06|99.97|4,048,899.38|4,048,899.38|Industrial|--|US958667AD99|2.70|Jan 13, 2023|2.68|2.68|0.21|4,045,000.00
KRAFT HEINZ FOODS CO|Fixed Income|0.06|100.13|4,037,034.06|4,037,034.06|Industrial|BDF0M32|US50077LAP13|2.47|Feb 10, 2021|2.25|2.25|0.03|4,010,000.00
MDPK_14-13AR AR2 144A|Fixed Income|0.06|99.49|3,982,455.93|3,982,455.93|ABS|--|US55818MBA45|2.77|Apr 19, 2030|2.96|2.96|0.22|4,000,000.00
TICP_15-1A AR 144A|Fixed Income|0.06|99.93|3,921,349.47|3,921,349.47|ABS|--|US87248BAQ77|2.62|Jul 20, 2027|2.66|2.66|0.22|3,921,465.00
COMM_14-CR15 A2|Fixed Income|0.06|100.14|3,785,689.30|3,785,689.30|CMBS|--|US12591RAX89|2.93|Feb 10, 2047|1.63|1.63|0.16|3,771,690.00
AIG GLOBAL FUNDING MTN 144A|Fixed Income|0.06|100.20|3,709,322.25|3,709,322.25|Financial Institutions|BD2M5K9|US00138CAE84|2.39|Jul 02, 2020|1.84|1.84|0.17|3,695,000.00
ALLYA_17-4 A3|Fixed Income|0.06|100.02|3,620,757.01|3,620,757.01|ABS|--|US02007FAC95|1.75|Dec 15, 2021|1.69|1.69|0.33|3,617,281.00
RPT_17-ROSS A 144A|Fixed Income|0.05|100.00|3,393,705.17|3,393,705.17|CMBS|--|US77846EAA38|2.63|Jun 15, 2033|2.84|2.84|0.04|3,390,000.00
NAVSL_18-B A1 144A|Fixed Income|0.05|100.00|3,362,422.79|3,362,422.79|ABS|--|US63940QAA13|2.03|Dec 15, 2059|2.01|2.01|0.05|3,359,586.00
BANQUE FEDERATIVE DU CREDIT MUTUEL MTN 144A|Fixed Income|0.05|100.19|3,223,060.91|3,223,060.91|Financial Institutions|--|US06675FAL13|2.31|Jul 20, 2020|1.89|1.89|0.22|3,215,000.00
CRMN_15-1A AR 144A|Fixed Income|0.05|99.76|3,151,348.84|3,151,348.84|ABS|--|US14889KAL61|2.70|Apr 22, 2027|2.90|2.90|0.23|3,157,077.00
EFF_17-2 A-2 144A|Fixed Income|0.05|100.02|3,076,203.14|3,076,203.14|ABS|--|US29372JAB35|1.97|Jan 20, 2023|1.92|1.92|0.36|3,073,837.00
AMERICAN INTERNATIONAL GROUP INC|Fixed Income|0.05|100.86|3,069,073.80|3,069,073.80|Financial Institutions|BCZQ738|US026874CX31|3.38|Aug 15, 2020|1.78|1.78|0.53|2,997,000.00
MIZUHO FINANCIAL GROUP INC|Fixed Income|0.05|100.55|3,029,013.97|3,029,013.97|Financial Institutions|BFX0636|US60687YAQ26|2.68|Mar 05, 2023|2.42|2.42|0.11|3,000,000.00
HYUNDAI CAPITAL AMERICA MTN 144A|Fixed Income|0.05|100.33|3,020,196.98|3,020,196.98|Industrial|BZ4F3P1|US44891AAP21|2.90|Sep 18, 2020|2.32|2.32|0.13|3,000,000.00
GPMT_18-FL1 A 144A|Fixed Income|0.04|100.06|2,897,002.74|2,897,002.74|CMBS|--|US36255CAA71|2.55|Nov 21, 2035|2.29|2.29|0.05|2,892,135.00
ARES_2014-1A A1R 144A|Fixed Income|0.04|99.98|2,849,680.33|2,849,680.33|ABS|--|US04014WAJ45|3.03|Apr 17, 2026|3.06|3.06|0.21|2,847,207.00
ALM_15-12A A1R2 144A|Fixed Income|0.04|99.91|2,748,512.77|2,748,512.77|ABS|--|US00164MDU45|2.73|Apr 16, 2027|2.77|2.77|0.21|2,748,084.00
EFF_17-3 A2 144A|Fixed Income|0.04|100.12|2,603,043.66|2,603,043.66|ABS|--|US29373EAB39|2.13|May 22, 2023|1.92|1.92|0.55|2,598,458.00
TAOT_17-B A3|Fixed Income|0.04|100.00|2,595,916.05|2,595,916.05|ABS|--|US89190BAD01|1.76|Jul 15, 2021|1.77|1.77|0.30|2,594,063.00
AVERY_14-1A AR 144A|Fixed Income|0.04|100.02|2,586,314.09|2,586,314.09|ABS|--|US05363UAS24|2.89|Apr 25, 2026|2.91|2.91|0.24|2,585,221.00
FORDF_13-2 A 144A|Fixed Income|0.04|100.04|2,563,210.84|2,563,210.84|ABS|--|US34528QCJ13|2.09|Mar 15, 2022|1.72|1.72|0.12|2,560,000.00
DANSKE BANK A/S 144A|Fixed Income|0.04|100.04|2,510,902.74|2,510,902.74|Financial Institutions|--|US23636AAL52|2.42|Mar 02, 2020|1.96|1.96|0.09|2,500,000.00
OZLM_14-8A A1RR 144A|Fixed Income|0.04|99.57|2,491,862.37|2,491,862.37|ABS|--|US67107FBC05|3.01|Oct 17, 2029|3.13|3.13|0.21|2,500,000.00
ANCHC_14-4ARR A 144A|Fixed Income|0.04|99.37|2,484,678.49|2,484,678.49|ABS|--|US03328LAA08|2.85|Jan 28, 2031|3.06|3.06|0.24|2,500,000.00
SYMP_16-18A AR 144A|Fixed Income|0.04|100.12|2,404,366.38|2,404,366.38|ABS|--|US87154GAJ40|2.96|Jan 23, 2028|2.93|2.93|0.24|2,400,000.00
NAVSL_19-A A1 144A|Fixed Income|0.04|100.52|2,359,186.11|2,359,186.11|ABS|--|US63941BAA35|3.03|Jan 15, 2043|2.22|2.22|0.63|2,343,973.00
CHAIT_18-A1 A1|Fixed Income|0.04|100.10|2,314,084.71|2,314,084.71|ABS|--|US161571HN70|1.88|Apr 17, 2023|1.79|1.79|0.05|2,310,000.00
VOLKSWAGEN GROUP OF AMERICA FINANC 144A|Fixed Income|0.03|101.56|2,198,410.50|2,198,410.50|Industrial|--|US928668AZ53|2.70|Sep 26, 2022|2.09|2.09|2.54|2,145,000.00
MPLX LP 144A|Fixed Income|0.03|101.64|2,069,244.37|2,069,244.37|Industrial|--|US55336VAW00|6.25|Oct 15, 2022|5.59|3.87|0.28|2,000,000.00
VENT_16-24A AR 144A|Fixed Income|0.03|99.86|2,063,686.21|2,063,686.21|ABS|--|US92330WBA45|3.00|Oct 20, 2028|3.06|3.06|0.22|2,065,000.00
SLMA_05-A A3|Fixed Income|0.03|99.84|2,042,888.84|2,042,888.84|ABS|B07W2Z7|US78443CBU71|2.09|Jun 15, 2023|2.45|2.45|0.13|2,040,832.00
AUSTRALIA & NEW ZEALAND BANKING GR MTN 144A|Fixed Income|0.03|100.71|2,025,110.27|2,025,110.27|Financial Institutions|BYWRBM5|US05252ACZ21|2.48|Nov 09, 2022|2.12|2.12|0.04|2,000,000.00
SIEMENS FINANCIERINGSMAATSCHAPPIJ 144A|Fixed Income|0.03|100.05|2,006,644.07|2,006,644.07|Industrial|BDFXGK6|US82620KAN37|2.23|Mar 16, 2020|1.81|1.81|0.12|2,000,000.00
LCM_24A A 144A|Fixed Income|0.03|99.96|2,000,734.56|2,000,734.56|ABS|--|US50188YAA29|3.13|Mar 20, 2030|3.15|3.15|0.23|2,000,000.00
JPMCC_19-BKWD A 144A|Fixed Income|0.03|100.06|1,914,472.82|1,914,472.82|CMBS|--|US46591JAA43|2.68|Sep 15, 2029|2.81|2.81|0.06|1,911,000.00
MBMOT_19-A A 144A|Fixed Income|0.03|100.17|1,894,841.75|1,894,841.75|ABS|--|US58768UAL70|2.03|May 15, 2023|1.90|1.90|0.05|1,890,000.00
CARMX_18-2 A2|Fixed Income|0.03|100.11|1,769,241.76|1,769,241.76|ABS|--|US14314XAB55|2.73|Aug 16, 2021|1.76|1.76|0.11|1,765,283.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.03|100.60|1,767,179.82|1,767,179.82|Financial Institutions|BZ0V2G7|US38141GVQ45|3.09|Sep 15, 2020|2.09|1.93|0.13|1,750,000.00
OMFIT_16-3A A 144A|Fixed Income|0.03|102.81|1,749,870.29|1,749,870.29|ABS|--|US68268HAA41|3.83|Jun 18, 2031|2.33|2.33|1.82|1,700,000.00
NAVSL_17-A A2B 144A|Fixed Income|0.03|100.15|1,741,959.22|1,741,959.22|ABS|--|US63939XAC56|2.58|Dec 16, 2058|2.53|2.53|0.05|1,737,465.00
SOFI_16-C A1 144A|Fixed Income|0.02|100.55|1,614,254.74|1,614,254.74|ABS|--|US83402DAA90|2.76|Oct 27, 2036|0.49|0.49|0.17|1,604,994.00
ACRE_10-ARTA A1 144A|Fixed Income|0.02|100.63|1,536,075.96|1,536,075.96|CMBS|B55PYC4|US03063NAA54|3.85|Jan 14, 2029|2.52|2.52|0.49|1,523,323.00
SOFI_15-B A1 144A|Fixed Income|0.02|100.49|1,472,530.14|1,472,530.14|ABS|--|US834017AA35|2.71|Apr 25, 2035|2.49|2.49|0.08|1,464,976.00
FHMS_K721 A1|Fixed Income|0.02|100.40|1,401,483.25|1,401,483.25|CMBS|BYPHMQ3|US3137BM6N11|2.61|Jan 25, 2022|1.14|1.14|0.39|1,392,972.00
