Name,AssetClass,Weight,Price,MarketValue,NotionalValue,Sector,SEDOL,ISIN,Coupon,Maturity,YTM,Yield to Worst,Duration,Par Value
BLACK HILLS CORPORATION,Fixed Income,0.03,112.67,602254.55,602254.55,Electric,--,US092113AQ27,4.35,"May 01, 2033",3.17,3.16,10.13,530000.00
WELLTOWER INC,Fixed Income,0.03,137.69,601849.44,601849.44,Reits,B55XRW9,US42217KAX46,6.50,"Mar 15, 2041",3.87,3.84,12.58,430000.00
TECK RESOURCES LTD,Fixed Income,0.03,117.82,601428.81,601428.81,Basic Industry,B4MWHC2,US878742AW53,6.25,"Jul 15, 2041",4.90,4.88,12.48,510000.00
CLECO CORPORATE HOLDINGS LLC,Fixed Income,0.03,114.27,599971.82,599971.82,Electric,BF4Z232,US18551PAD15,4.97,"May 01, 2046",4.08,4.07,15.07,520000.00
ABB FINANCE USA INC,Fixed Income,0.03,122.16,599215.65,599215.65,Capital Goods,B7WMYR7,US00037BAC63,4.38,"May 08, 2042",3.00,3.00,14.87,487000.00
S&P GLOBAL INC,Fixed Income,0.03,103.69,599099.70,599099.70,Communications,BKPVK74,US78409VAQ77,3.25,"Dec 01, 2049",3.06,3.06,18.86,575000.00
PRECISION CASTPARTS CORP,Fixed Income,0.03,117.93,598927.47,598927.47,Capital Goods,BZ0YDV8,US740189AP05,4.38,"Jun 15, 2045",3.32,3.31,15.86,506000.00
SYSCO CORPORATION,Fixed Income,0.03,117.00,598988.27,598988.27,Consumer Non-Cyclical,BYQ4R13,US871829BD80,4.50,"Apr 01, 2046",3.50,3.49,15.80,506000.00
UNITEDHEALTH GROUP INC,Fixed Income,0.03,143.60,598645.95,598645.95,Insurance,B2PPW96,US91324PAX06,6.50,"Jun 15, 2037",3.21,3.21,11.60,415000.00
TRUSTEES OF THE UNIVERSITY OF PENN,Fixed Income,0.03,107.16,598468.48,598468.48,Industrial Other,--,US91481CAC47,3.61,"Feb 15, 2119",3.36,3.36,26.53,550000.00
FIRST REPUBLIC BANK,Fixed Income,0.03,118.72,597715.82,597715.82,Banking,BYNHPM2,US33616CAC47,4.63,"Feb 13, 2047",3.54,3.53,15.89,495000.00
KANSAS CITY SOUTHERN RAILWAY CO,Fixed Income,0.03,105.94,597397.28,597397.28,Transportation,--,US485170BC77,4.20,"Nov 15, 2069",3.93,3.93,20.78,560000.00
PRUDENTIAL FINANCIAL INC MTN,Fixed Income,0.03,117.90,596517.38,596517.38,Insurance,BFNNX67,US74432QCD51,4.42,"Mar 27, 2048",3.42,3.41,16.62,500000.00
DOW CHEMICAL COMPANY (THE),Fixed Income,0.03,127.38,595968.69,595968.69,Basic Industry,--,US260543CR27,5.55,"Nov 30, 2048",3.95,3.94,15.65,465000.00
SOUTHWESTERN PUBLIC SERVICE COMPAN,Fixed Income,0.03,120.75,595630.24,595630.24,Electric,BGYKMF6,US845743BS15,4.40,"Nov 15, 2048",3.28,3.27,17.07,490000.00
SAN DIEGO GAS & ELECTRIC CO,Fixed Income,0.03,106.54,595259.21,595259.21,Electric,BF4SP32,US797440BV50,3.75,"Jun 01, 2047",3.38,3.38,17.07,556000.00
LOCKHEED MARTIN CORP,Fixed Income,0.03,112.21,595313.92,595313.92,Capital Goods,BVY9RL9,US539830BC24,3.60,"Mar 01, 2035",2.62,2.59,11.52,524000.00
KEURIG DR PEPPER INC,Fixed Income,0.03,124.52,595243.79,595243.79,Consumer Non-Cyclical,BHNH4B5,US49271VAD29,5.09,"May 25, 2048",3.68,3.67,16.04,475000.00
CATERPILLAR INC,Fixed Income,0.03,118.07,594279.08,594279.08,Capital Goods,BMJJM94,US149123CD18,4.30,"May 15, 2044",3.22,3.21,15.52,500000.00
MIDAMERICAN ENERGY COMPANY,Fixed Income,0.03,110.38,594138.41,594138.41,Electric,BFWSRL6,US595620AS49,3.65,"Aug 01, 2048",3.10,3.09,17.68,530000.00
SAN DIEGO GAS & ELECTRIC CO,Fixed Income,0.03,114.60,594118.42,594118.42,Electric,--,US797440BW34,4.15,"May 15, 2048",3.35,3.34,17.05,515000.00
INDIANA MICHIGAN POWER COMPANY,Fixed Income,0.03,119.47,593218.63,593218.63,Electric,BYPJ106,US454889AQ96,4.55,"Mar 15, 2046",3.42,3.41,15.79,490000.00
INTEL CORPORATION,Fixed Income,0.03,127.21,591917.12,591917.12,Technology,B6SRRZ8,US458140AK64,4.80,"Oct 01, 2041",3.07,3.07,14.24,460000.00
HEINEKEN NV 144A,Fixed Income,0.03,108.30,591400.24,591400.24,Consumer Non-Cyclical,B8068N2,US423012AE38,4.00,"Oct 01, 2042",3.47,3.47,14.97,540000.00
ILLINOIS TOOL WORKS INC,Fixed Income,0.03,129.64,591064.03,591064.03,Capital Goods,B83RFB9,US452308AQ28,4.88,"Sep 15, 2041",3.00,2.98,14.04,450000.00
KROGER CO,Fixed Income,0.03,99.06,590536.83,590536.83,Consumer Non-Cyclical,BYVZCX8,US501044DF54,3.88,"Oct 15, 2046",3.93,3.93,16.17,590000.00
FARMERS EXCHANGE CAPITAL III 144A,Fixed Income,0.03,113.07,590400.08,590400.08,Insurance,BRFJY97,US30958QAA94,5.45,"Oct 15, 2054",4.65,4.25,10.11,515000.00
STARBUCKS CORP,Fixed Income,0.03,114.24,590539.49,590539.49,Consumer Cyclical,BYYG2D8,US855244AH20,4.30,"Jun 15, 2045",3.45,3.44,15.82,515000.00
NEWMONT GOLDCORP CORP,Fixed Income,0.03,128.59,586664.07,586664.07,Basic Industry,BJYRXM2,US651639AV85,5.45,"Jun 09, 2044",3.67,3.65,14.53,454000.00
DOW CHEMICAL COMPANY (THE),Fixed Income,0.03,167.85,586728.08,586728.08,Basic Industry,B4KXLY7,US260543BY86,9.40,"May 15, 2039",4.23,4.23,11.12,346000.00
OGLETHORPE POWER CORP,Fixed Income,0.03,124.69,585933.78,585933.78,Electric,B3LMZJ9,US677050AG14,5.95,"Nov 01, 2039",4.11,4.11,12.38,465000.00
THERMO FISHER SCIENTIFIC INC,Fixed Income,0.03,129.88,585137.70,585137.70,Consumer Non-Cyclical,BH550S6,US883556BG65,5.30,"Feb 01, 2044",3.46,3.44,14.42,442000.00
STARBUCKS CORPORATION,Fixed Income,0.03,118.60,584578.39,584578.39,Consumer Cyclical,BK0NJG7,US855244AU31,4.45,"Aug 15, 2049",3.44,3.43,16.96,485000.00
XCEL ENERGY INC,Fixed Income,0.03,103.32,582593.54,582593.54,Electric,BJYCX05,US98389BAX82,3.50,"Dec 01, 2049",3.32,3.32,18.25,560000.00
STORA ENSO OYJ 144A,Fixed Income,0.03,122.00,582486.67,582486.67,Basic Industry,B12V375,US86210MAC01,7.25,"Apr 15, 2036",5.29,5.29,10.11,470000.00
DUKE ENERGY FLORIDA LLC,Fixed Income,0.03,146.71,582019.87,582019.87,Electric,B39XY20,US341099CL11,6.40,"Jun 15, 2038",3.06,3.06,12.15,395000.00
INTERNATIONAL PAPER CO,Fixed Income,0.03,116.44,581028.64,581028.64,Basic Industry,BXT7CG2,US460146CN10,5.15,"May 15, 2046",4.12,4.11,14.96,495000.00
SOUTHERN CALIFORNIA EDISON CO,Fixed Income,0.03,102.96,580852.16,580852.16,Electric,BVDPXD2,US842400GE74,3.60,"Feb 01, 2045",3.42,3.42,16.11,555000.00
CAMDEN PROPERTY TRUST,Fixed Income,0.03,102.74,580780.38,580780.38,Reits,--,US133131AY84,3.35,"Nov 01, 2049",3.21,3.20,18.47,560000.00
PEPSICO INC/NC,Fixed Income,0.03,116.42,580234.01,580234.01,Consumer Non-Cyclical,B557QD5,US713448BZ06,4.00,"Mar 05, 2042",2.98,2.98,14.98,492000.00
QTEL INTERNATIONAL FINANCE LTD 144A,Fixed Income,0.03,117.50,580241.88,580241.88,Owned No Guarantee,B9F9ZB0,US74735K2C55,4.50,"Jan 31, 2043",3.40,3.40,14.70,485000.00
DOVER CORP,Fixed Income,0.03,124.02,580095.33,580095.33,Capital Goods,B3WTSR8,US260003AK45,5.38,"Mar 01, 2041",3.72,3.71,13.20,460000.00
ABBVIE INC,Fixed Income,0.03,112.69,578816.11,578816.11,Consumer Non-Cyclical,BYP8MR7,US00287YAV11,4.30,"May 14, 2036",3.29,3.27,11.76,510000.00
SUNCOR ENERGY INC.,Fixed Income,0.03,141.11,577955.45,577955.45,Energy,2847636,US867229AC03,7.15,"Feb 01, 2032",3.04,3.04,8.61,400000.00
CORNING INC,Fixed Income,0.03,102.54,577976.84,577976.84,Technology,--,US219350BP93,3.90,"Nov 15, 2049",3.76,3.76,17.35,560000.00
FLORIDA POWER & LIGHT CO,Fixed Income,0.03,117.57,577654.83,577654.83,Electric,BG1V081,US341081FQ54,3.95,"Mar 01, 2048",3.02,3.01,17.35,485000.00
AXIS SPECIALTY FINANCE PLC,Fixed Income,0.03,111.65,577442.33,577442.33,Insurance,BKL56D8,US05464HAB69,5.15,"Apr 01, 2045",4.38,4.38,14.42,510000.00
NIKE INC,Fixed Income,0.03,110.18,577141.91,577141.91,Consumer Cyclical,B75MXV1,US654106AD51,3.63,"May 01, 2043",3.01,3.00,15.75,520000.00
DOMINION RESOURCES INC,Fixed Income,0.03,142.52,577169.67,577169.67,Electric,B39ZDT6,US25746UBD00,7.00,"Jun 15, 2038",3.77,3.77,11.66,403000.00
BACARDI LTD 144A,Fixed Income,0.03,120.55,577206.33,577206.33,Consumer Non-Cyclical,BYWFDD4,US067316AH25,5.30,"May 15, 2048",4.07,4.06,15.50,475000.00
TRAVELERS COMPANIES INC,Fixed Income,0.03,111.28,576646.49,576646.49,Insurance,BD8BSC3,US89417EAL39,3.75,"May 15, 2046",3.12,3.11,16.87,515000.00
WAL-MART STORES INC,Fixed Income,0.03,132.86,576436.67,576436.67,Consumer Cyclical,B4LC0B3,US931142CY78,5.00,"Oct 25, 2040",2.88,2.88,13.85,430000.00
AMERICAN WATER CAP CORP,Fixed Income,0.03,143.83,575068.61,575068.61,Utility Other,B3B3L83,US03040WAD74,6.59,"Oct 15, 2037",3.31,3.31,11.60,395000.00
UNITEDHEALTH GROUP INC,Fixed Income,0.03,116.50,574703.08,574703.08,Insurance,BZ0X5W0,US91324PCX87,4.20,"Jan 15, 2047",3.27,3.26,16.69,493000.00
ALBEMARLE CORP,Fixed Income,0.03,118.85,574104.83,574104.83,Basic Industry,BSPL144,US012725AD95,5.45,"Dec 01, 2044",4.22,4.21,14.29,480000.00
BOEING CO,Fixed Income,0.03,102.77,573431.21,573431.21,Capital Goods,BJHMV86,US097023CF00,3.83,"Mar 01, 2059",3.69,3.69,19.75,550000.00
TRAVELERS PROPERTY CASUALTY CORP,Fixed Income,0.03,140.59,571273.94,571273.94,Insurance,2600851,US89420GAE98,6.38,"Mar 15, 2033",2.69,2.69,9.52,400000.00
GENERAL ELECTRIC CO,Fixed Income,0.03,112.62,571242.10,571242.10,Capital Goods,BKKXD87,US369604BH58,4.50,"Mar 11, 2044",3.70,3.70,14.97,500000.00
PUBLIC SERVICE COMPANY OF COLORADO,Fixed Income,0.03,143.96,570920.16,570920.16,Electric,B23YNB4,US744448BZ35,6.25,"Sep 01, 2037",3.01,3.01,11.71,390000.00
ERP OPERATING LIMITED PARTNERSHIP,Fixed Income,0.03,122.19,571071.70,571071.70,Reits,BXQ9SK7,US26884ABE29,4.50,"Jun 01, 2045",3.21,3.20,15.82,465000.00
FORTIVE CORP,Fixed Income,0.03,107.39,570365.50,570365.50,Capital Goods,BF1XM51,US34959JAH14,4.30,"Jun 15, 2046",3.85,3.85,15.86,529000.00
GRUPO TELEVISA SAB,Fixed Income,0.03,113.25,570416.24,570416.24,Communications,BJR46J8,US40049JBE64,5.25,"May 24, 2049",4.44,4.43,15.46,500000.00
DOMINION GAS HOLDINGS LLC,Fixed Income,0.03,113.48,569708.95,569708.95,Energy,BT9Z2H9,US257375AJ44,4.60,"Dec 15, 2044",3.76,3.75,15.19,500000.00
DOW CHEMICAL CO,Fixed Income,0.03,120.44,569395.59,569395.59,Basic Industry,B76L298,US260543CE14,5.25,"Nov 15, 2041",3.86,3.85,13.59,469000.00
WILLIAMS COMPANIES INC,Fixed Income,0.03,108.69,569458.18,569458.18,Energy,BFY8W75,US96949LAE56,4.85,"Mar 01, 2048",4.31,4.31,15.37,515000.00
WESTAR ENERGY INC,Fixed Income,0.03,118.00,569235.53,569235.53,Electric,BYP8YX7,US95709TAM27,4.25,"Dec 01, 2045",3.22,3.21,16.20,480000.00
UNITEDHEALTH GROUP INC,Fixed Income,0.03,146.24,569182.49,569182.49,Insurance,B2PPW63,US91324PBE16,6.63,"Nov 15, 2037",3.20,3.20,11.71,386000.00
DANAHER CORPORATION,Fixed Income,0.03,120.82,568942.29,568942.29,Consumer Non-Cyclical,BYNPP60,US235851AR35,4.38,"Sep 15, 2045",3.18,3.17,15.93,465000.00
RUWAIS POWER CO PJSC 144A,Fixed Income,0.03,124.02,568642.70,568642.70,Owned No Guarantee,BCRY5M5,US78348BAA08,6.00,"Aug 31, 2036",3.83,3.83,10.07,450000.00
JOHNSON CONTROLS INTERNATIONAL PLC,Fixed Income,0.03,110.10,568350.96,568350.96,Capital Goods,BDG0907,US478375AN81,4.95,"Jul 02, 2064",4.43,4.43,18.50,515000.00
MARS INCORPORATED 144A,Fixed Income,0.03,118.32,567998.21,567998.21,Consumer Non-Cyclical,--,US571676AG05,4.13,"Apr 01, 2054",3.24,3.23,19.00,475000.00
METLIFE INC,Fixed Income,0.03,123.99,568098.53,568098.53,Insurance,BYQ29M2,US59156RBR84,4.60,"May 13, 2046",3.24,3.23,16.07,455000.00
WALT DISNEY COMPANY (THE),Fixed Income,0.03,111.38,567284.02,567284.02,Communications,B90NR11,US25468PCX24,3.70,"Dec 01, 2042",3.01,3.01,15.66,507000.00
KINDER MORGAN ENERGY PARTNERS LP,Fixed Income,0.03,111.45,566958.59,566958.59,Energy,B83ZS69,US494550BP09,5.00,"Mar 01, 2043",4.22,4.21,13.81,500000.00
KROGER CO,Fixed Income,0.03,111.08,566887.19,566887.19,Consumer Non-Cyclical,BF34898,US501044DK40,4.65,"Jan 15, 2048",3.99,3.98,16.03,510000.00
NUCOR CORP,Fixed Income,0.03,137.26,566399.10,566399.10,Basic Industry,B29QQD7,US670346AH87,6.40,"Dec 01, 2037",3.56,3.56,11.69,410000.00
ERP OPERATING LIMITED PARTNERSHIP,Fixed Income,0.03,121.78,564990.10,564990.10,Reits,BNGK4X5,US26884ABB89,4.50,"Jul 01, 2044",3.21,3.19,15.51,463000.00
CORNING INC,Fixed Income,0.03,127.37,564765.60,564765.60,Technology,BGLBDB5,US219350BK07,5.35,"Nov 15, 2048",3.78,3.77,15.90,440000.00
MINEJESA CAPITAL BV 144A,Fixed Income,0.03,110.24,563787.16,563787.16,Electric,BDFB462,US602736AB68,5.63,"Aug 10, 2037",4.66,4.66,10.13,500000.00
APPLIED MATERIALS INC,Fixed Income,0.03,127.93,563269.60,563269.60,Technology,BYTX3G4,US038222AK16,5.10,"Oct 01, 2035",2.88,2.83,11.10,435000.00
ENTERGY MISSISSIPPI LLC,Fixed Income,0.03,112.08,563072.25,563072.25,Electric,BJLPYW6,US29366WAA45,3.85,"Jun 01, 2049",3.21,3.21,17.86,500000.00
WESTAR ENERGY INC,Fixed Income,0.03,114.28,562034.80,562034.80,Electric,B744PD4,US95709TAH32,4.13,"Mar 01, 2042",3.22,3.20,14.61,485000.00
UNION PACIFIC CORPORATION,Fixed Income,0.03,111.69,562143.90,562143.90,Transportation,BYQGY41,US907818EF15,4.05,"Nov 15, 2045",3.37,3.36,16.21,500000.00
FLORIDA POWER & LIGHT CO,Fixed Income,0.03,112.89,561355.59,561355.59,Electric,BF3RG04,US341081FP71,3.70,"Dec 01, 2047",3.01,3.01,17.65,495000.00
WALT DISNEY CO,Fixed Income,0.03,138.52,560683.92,560683.92,Communications,--,US254687ET97,5.40,"Oct 01, 2043",3.09,3.09,14.71,400000.00
DUKE ENERGY CAROLINAS LLC,Fixed Income,0.03,102.34,560190.48,560190.48,Electric,BKFV9W2,US26442CAZ77,3.20,"Aug 15, 2049",3.08,3.08,18.63,540000.00
BAE SYSTEMS HOLDINGS INC 144A,Fixed Income,0.03,118.53,557528.33,557528.33,Capital Goods,BRJG7B7,US05523UAL44,4.75,"Oct 07, 2044",3.61,3.61,15.12,465000.00
TRAVELERS CO INC,Fixed Income,0.03,148.04,557313.01,557313.01,Insurance,B17M7Y8,US792860AK49,6.75,"Jun 20, 2036",3.02,3.02,11.13,375000.00
GEORGIA POWER COMPANY,Fixed Income,0.03,117.64,556831.32,556831.32,Electric,B5YFYT2,US373334JS15,4.75,"Sep 01, 2040",3.54,3.54,13.51,466000.00
ONCOR ELECTRIC DELIVERY COMPANY LL,Fixed Income,0.03,113.04,556472.96,556472.96,Electric,--,US68233JBP84,3.80,"Jun 01, 2049",3.12,3.11,18.00,490000.00
AMERICA MOVIL SA DE CV,Fixed Income,0.03,136.66,556576.64,556576.64,Communications,B069D01,US02364WAJ45,6.38,"Mar 01, 2035",3.28,3.28,10.39,400000.00
CONSOLIDATED EDISON CO OF NEW YORK,Fixed Income,0.03,110.83,556079.06,556079.06,Electric,BD03ZS2,US209111FH17,3.85,"Jun 15, 2046",3.24,3.23,16.76,500000.00
REYNOLDS AMERICAN INC,Fixed Income,0.03,121.40,555982.48,555982.48,Consumer Non-Cyclical,BDWGXG3,US761713AZ95,6.15,"Sep 15, 2043",4.65,4.65,13.21,450000.00
CLEVELAND ELECTRIC ILLUMINATING CO,Fixed Income,0.03,128.62,555608.01,555608.01,Electric,B1L4G76,US186108CE42,5.95,"Dec 15, 2036",3.66,3.66,11.41,430000.00
AIG SUNAMERICA GLOBAL FINANCING X 144A,Fixed Income,0.03,141.70,554849.03,554849.03,Insurance,2111096,US00139PAA66,6.90,"Mar 15, 2032",2.82,2.82,8.82,385000.00
FLORIDA POWER & LIGHT CO,Fixed Income,0.03,116.03,554505.20,554505.20,Electric,B75LD96,US341081FF99,4.13,"Feb 01, 2042",3.11,3.10,14.59,470000.00
SPECTRA ENERGY PARTNERS LP,Fixed Income,0.03,111.61,554582.01,554582.01,Energy,BWC4XS2,US84756NAG43,4.50,"Mar 15, 2045",3.78,3.77,15.18,490000.00
AMERICAN UNIVERSITY,Fixed Income,0.03,109.74,554303.01,554303.01,Industrial Other,BJSBJN3,US030360AD30,3.67,"Apr 01, 2049",3.14,3.14,17.47,500000.00
LOWES COMPANIES INC,Fixed Income,0.03,113.96,554360.63,554360.63,Consumer Cyclical,BYMYN08,US548661DJ38,4.38,"Sep 15, 2045",3.54,3.53,15.64,480000.00
JOHNSON CONTROLS INTERNATIONAL PLC,Fixed Income,0.03,111.63,554270.83,554270.83,Capital Goods,BYP53M0,US478375AU25,4.50,"Feb 15, 2047",3.81,3.80,15.76,488000.00
FEDEX CORP,Fixed Income,0.03,113.91,554124.45,554124.45,Transportation,BFWSBZ8,US31428XBS45,4.95,"Oct 17, 2048",4.12,4.11,15.75,481000.00
AT&T INC,Fixed Income,0.03,116.11,553836.05,553836.05,Communications,BJ11MM0,US00206RJH66,4.90,"Jun 15, 2042",3.82,3.82,14.14,475000.00
REGIONS BANK MTN,Fixed Income,0.03,134.63,553827.80,553827.80,Banking,B1Z5FP6,US75913MAA71,6.45,"Jun 26, 2037",3.73,3.73,11.46,410000.00
MAGELLAN MIDSTREAM PARTNERS LP,Fixed Income,0.03,118.96,553548.35,553548.35,Energy,BFGCNC7,US559080AG18,5.15,"Oct 15, 2043",3.92,3.90,14.21,460000.00
CENTERPOINT ENERGY HOUSTON ELECTRI,Fixed Income,0.03,120.96,553345.99,553345.99,Electric,BJ52166,US15189XAT54,4.25,"Feb 01, 2049",3.14,3.13,17.24,450000.00
SOUTHERN CALIFORNIA GAS COMPANY,Fixed Income,0.03,120.17,553096.36,553096.36,Natural Gas,BGHHQ74,US842434CS98,4.30,"Jan 15, 2049",3.22,3.21,17.37,460000.00
VIRGINIA ELECTRIC AND POWER COMPAN,Fixed Income,0.03,173.80,552583.07,552583.07,Electric,B3FD1W3,US927804FG41,8.88,"Nov 15, 2038",3.49,3.49,11.37,315000.00
KINDER MORGAN ENERGY PARTNERS LP,Fixed Income,0.03,116.67,552263.82,552263.82,Energy,BQS39P0,US494550BW59,5.40,"Sep 01, 2044",4.30,4.28,14.02,465000.00
UNUM GROUP,Fixed Income,0.03,99.04,552159.34,552159.34,Insurance,--,US91529YAP16,4.50,"Dec 15, 2049",4.56,4.56,16.04,555000.00
GRUPO TELEVISA SA,Fixed Income,0.03,128.46,551570.26,551570.26,Communications,B51YP22,US40049JAZ03,6.63,"Jan 15, 2040",4.46,4.46,12.15,429000.00
BURLINGTON NORTHERN SANTA FE LLC,Fixed Income,0.03,125.23,551005.64,551005.64,Transportation,B61QXW1,US12189LAG68,4.95,"Sep 15, 2041",3.31,3.29,13.84,434000.00
NORFOLK SOUTHERN CORPORATION,Fixed Income,0.03,120.98,550793.31,550793.31,Transportation,BYV2RZ6,US655844BR82,4.65,"Jan 15, 2046",3.42,3.41,15.85,455000.00
BAYER US FINANCE II LLC 144A,Fixed Income,0.03,101.83,550443.60,550443.60,Consumer Non-Cyclical,BG1VP86,US07274NBG79,3.95,"Apr 15, 2045",3.84,3.83,15.67,535000.00
OCCIDENTAL PETROLEUM CORPORATION,Fixed Income,0.03,105.75,549498.99,549498.99,Energy,BKKGQH6,US674599CY98,4.40,"Aug 15, 2049",4.06,4.06,16.32,510000.00
STARBUCKS CORPORATION,Fixed Income,0.03,105.96,548370.51,548370.51,Consumer Cyclical,BF2RBL1,US855244AM15,3.75,"Dec 01, 2047",3.42,3.41,17.22,515000.00
ENTERPRISE PRODUCTS OPERATING LLC,Fixed Income,0.03,132.00,547879.15,547879.15,Energy,B4RMRV6,US29379VAG86,6.13,"Oct 15, 2039",3.80,3.80,12.41,410000.00
CONSTELLATION BRANDS INC,Fixed Income,0.03,108.74,547049.75,547049.75,Consumer Non-Cyclical,BF42ZJ0,US21036PAZ18,4.10,"Feb 15, 2048",3.60,3.60,16.61,495000.00
EMERSON ELECTRIC CO,Fixed Income,0.03,134.14,546959.82,546959.82,Capital Goods,2978451,US291011AQ77,6.00,"Aug 15, 2032",2.77,2.77,9.26,400000.00
CANADIAN PACIFIC RAILWAY CO,Fixed Income,0.03,127.95,546901.14,546901.14,Transportation,BYXJF51,US13645RAU86,4.80,"Aug 01, 2045",3.19,3.17,15.49,420000.00
SOUTHERN CALIFORNIA GAS CO,Fixed Income,0.03,114.55,545728.36,545728.36,Natural Gas,BKR3G25,US842434CL46,4.45,"Mar 15, 2044",3.55,3.54,15.02,470000.00
ENDURANCE SPECIALTY HOLDINGS LTD,Fixed Income,0.03,136.29,545616.33,545616.33,Insurance,B01W510,US29267HAA77,7.00,"Jul 15, 2034",3.73,3.73,9.97,400000.00
AT&T INC,Fixed Income,0.03,122.48,545238.66,545238.66,Communications,BJ11ML9,US00206RJG83,5.38,"Oct 15, 2041",3.84,3.84,13.51,440000.00
PHILIP MORRIS INTERNATIONAL INC,Fixed Income,0.03,105.38,544612.44,544612.44,Consumer Non-Cyclical,B83K8M0,US718172AU37,3.88,"Aug 21, 2042",3.53,3.53,14.92,509000.00
WISCONSIN POWER AND LIGHT CO,Fixed Income,0.03,140.57,544650.77,544650.77,Electric,B23Y422,US976826BE63,6.38,"Aug 15, 2037",3.31,3.31,11.51,380000.00
VENTAS REALTY LP,Fixed Income,0.03,109.76,544607.99,544607.99,Reits,BV9CM96,US92277GAF46,4.38,"Feb 01, 2045",3.77,3.76,15.17,487000.00
AON PLC,Fixed Income,0.03,122.30,543164.55,543164.55,Insurance,BXS2QD3,US00185AAH77,4.75,"May 15, 2045",3.43,3.41,15.43,441000.00
PRECISION CASTPARTS CORP.,Fixed Income,0.03,110.34,542085.35,542085.35,Capital Goods,B97H103,US740189AH88,3.90,"Jan 15, 2043",3.26,3.25,15.35,491000.00
GENERAL MILLS INC,Fixed Income,0.03,126.82,541286.87,541286.87,Consumer Non-Cyclical,B5W45L0,US370334BJ28,5.40,"Jun 15, 2040",3.54,3.54,13.22,425000.00
FMC CORPORATION,Fixed Income,0.03,112.41,541113.34,541113.34,Basic Industry,--,US302491AV74,4.50,"Oct 01, 2049",3.80,3.79,16.63,475000.00
ARCH CAPITAL GROUP (US) INC,Fixed Income,0.03,127.56,540555.07,540555.07,Insurance,BH6Y3Z0,US03938JAA79,5.14,"Nov 01, 2043",3.44,3.44,14.70,420000.00
UNITED PARCEL SERVICE INC,Fixed Income,0.03,124.73,540202.31,540202.31,Transportation,B5VT583,US911312AN61,4.88,"Nov 15, 2040",3.23,3.21,13.65,430000.00
HONEYWELL INTERNATIONAL INC,Fixed Income,0.03,116.76,540035.77,540035.77,Capital Goods,BG0PV14,US438516BS48,3.81,"Nov 21, 2047",2.93,2.92,17.59,460000.00
TRUSTEES OF BOSTON COLLEGE,Fixed Income,0.03,101.58,539321.77,539321.77,Industrial Other,--,US89838LAG95,3.13,"Jul 01, 2052",3.05,3.05,19.41,530000.00
PPL ELECTRIC UTILITIES CORPORATION,Fixed Income,0.03,117.99,538759.26,538759.26,Electric,BFNC7K6,US69351UAV52,4.15,"Jun 15, 2048",3.18,3.17,17.28,455000.00
DARDEN RESTAURANTS INC,Fixed Income,0.03,104.62,538310.35,538310.35,Consumer Cyclical,BFWZ825,US237194AM73,4.55,"Feb 15, 2048",4.27,4.26,15.60,505000.00
MINEJESA CAPITAL BV 144A,Fixed Income,0.03,105.60,538330.64,538330.64,Electric,BDFB417,US602736AA85,4.63,"Aug 10, 2030",3.73,3.73,6.09,500000.00
WW GRAINGER INC,Fixed Income,0.03,114.73,537067.56,537067.56,Capital Goods,BYQMTX3,US384802AD60,4.20,"May 15, 2047",3.37,3.36,16.63,465000.00
AMEREN ILLINOIS CO,Fixed Income,0.03,111.19,536154.66,536154.66,Electric,BDR0F08,US02361DAR17,3.70,"Dec 01, 2047",3.10,3.09,17.57,480000.00
AEP TRANSMISSION COMPANY LLC,Fixed Income,0.03,110.02,536137.42,536137.42,Electric,BG88DM0,US00115AAH23,3.75,"Dec 01, 2047",3.20,3.20,17.42,485000.00
AETNA INC,Fixed Income,0.03,102.42,536129.52,536129.52,Insurance,BDF0M43,US00817YAZ16,3.88,"Aug 15, 2047",3.73,3.73,16.52,515000.00
STRYKER CORP,Fixed Income,0.03,111.61,536093.81,536093.81,Consumer Non-Cyclical,B94CB56,US863667AE17,4.10,"Apr 01, 2043",3.37,3.36,15.05,475000.00
FLORIDA POWER & LIGHT CO,Fixed Income,0.03,120.66,535851.63,535851.63,Electric,--,US341081FR38,4.13,"Jun 01, 2048",3.03,3.02,17.41,442000.00
COMMONSPIRIT HEALTH,Fixed Income,0.03,100.49,535900.55,535900.55,Consumer Non-Cyclical,--,US20268JAD54,3.82,"Oct 01, 2049",3.79,3.79,17.21,525000.00
CELULOSA ARAUCO Y CONSTITUCION SA 144A,Fixed Income,0.03,105.86,535389.14,535389.14,Basic Industry,BJRFDC3,US151191BG76,5.50,"Apr 30, 2049",5.18,5.18,14.58,500000.00
PUGET SOUND ENERGY INC,Fixed Income,0.03,118.18,533920.80,533920.80,Electric,BD3J3P0,US745332CG90,4.30,"May 20, 2045",3.24,3.23,15.92,449000.00
INTERNATIONAL PAPER CO,Fixed Income,0.03,119.54,533683.69,533683.69,Basic Industry,BXTH5G3,US460146CM37,5.00,"Sep 15, 2035",3.38,3.34,10.98,440000.00
PUBLIC SERVICE ELECTRIC AND GAS CO MTN,Fixed Income,0.03,103.16,533347.25,533347.25,Electric,BK5HXM8,US74456QCA22,3.20,"Aug 01, 2049",3.04,3.04,18.66,510000.00
JUNIPER NETWORKS INC,Fixed Income,0.03,119.15,533427.17,533427.17,Technology,B3QJ9R1,US48203RAD61,5.95,"Mar 15, 2041",4.53,4.53,12.58,440000.00
